Found,quasiharmonic,mode,:,phonon
T(K),volume,F(eV),S(J/K),H(J/K),a(-6/K),Cp(J/mol),Cv,Cpion,Bt(GPa),T_ph-D(K),T-D(K),F_el_atom,S_el_atom,C_el_atom,M_el,Seebeck_coefficients(10**-6,V/K),Lorenz_number(WOK^{-2}),Q_el,Q_p,Q_e,C_mu,W_p,W_e,Y_p,Y_e
590,15.14422014309412,-4.687441798713977,42.66801812483613,-427095.248048435,1.5587665592029783e-05,25.87492023751473,24.696226330585144,25.46140058408022,100.17204517476175,433.55463659757163,382.44890701522576,-0.0011841827839970862,0.3945890690184661,0.4135196534345071,0.008917677468393751,27.448678214260923,2.593205772322759e-08,0.014241993012850698,0.007533878867134351,0.006708104940794669,0.4255312878997152,0.008126392854963862,0.006115600157886836,0.009823566118116658,0.0098235661180623,2.042418229912896,1.7593392762840947
595,15.147764542458402,-4.6896778960430865,42.88672502119818,-426967.5279479271,1.5614406263800457e-05,25.903130830262334,24.711416107524812,25.485778644425356,100.06044538348041,433.3823066280003,382.2808194559865,-0.0012050052554522183,0.398182838331488,0.4173521858369758,0.009053791672693665,27.568984709310765,2.593833013340319e-08,0.014370512995202806,0.007604209452621508,0.006766294336368854,0.4295787409331926,0.00820586806331071,0.006164644931892095,0.009912159006075694,0.009912159006022499,2.023794829002098,1.7599828649543328
600,15.151315838019583,-4.691925808785801,43.103838639349036,-426839.7167594883,1.5641053897008904e-05,25.931100092936124,24.72633159745795,25.509911872499043,99.94856509158483,433.2092663670238,382.11240485546733,-0.0012260190627380282,0.4017802688058178,0.4211882204370771,0.009190496371534785,27.68744688520296,2.5944492784504623e-08,0.014499152734604202,0.0076746197655222625,0.006824523761576778,0.433630517918453,0.008285465177458335,0.0062136875571458675,0.010000831959316978,0.01000083195926492,2.005487010207098,1.7606251335615652
605,15.154874013784887,-4.694185457628949,43.319383467520495,-426711.8159143534,1.5667614590196214e-05,25.95883717930385,24.740981550234793,25.533809525973986,99.83640440619479,433.03552705175093,381.94366397210035,-0.001247224446245585,0.40538134683072197,0.4250276533298631,0.009327782566928464,27.804080071460927,2.5950541729454627e-08,0.01462791242687377,0.0077451094532163915,0.006882793764857521,0.4376864786042814,0.008365183279260722,0.006262729147613047,0.010089584976456602,0.010089584976404576,1.9874867771386995,1.7612661459807695
610,15.158439055116679,-4.696456764497788,43.533383463224034,-426583.82679722307,1.5694094232111998e-05,25.986350897094308,24.755374370659517,25.557480515466114,99.72396342961163,432.8610994303069,381.7745975000525,-0.0012686216459273573,0.4089860583605017,0.4288703816281931,0.009465641332341448,27.918899466664747,2.595647324326258e-08,0.01475679225784242,0.007815678162241034,0.006941104885504809,0.44174648387742416,0.008445021452542995,0.006311770805299424,0.01017841805406209,0.010178418054010202,1.9697864009180819,1.7619059642315522
615,15.162010948681324,-4.698739652530003,43.74586206780058,-426455.75074807345,1.5720498495331346e-05,26.013649721133646,24.769518134625976,25.58093341748091,99.61124221528819,432.6859937843694,381.60520607165034,-0.0012902109012489695,0.4125943889380801,0.4327163036527357,0.009604063812052073,28.031920145113137,2.5962283825752077e-08,0.014885792403010382,0.00788632553805849,0.006999457653556542,0.44581039596530386,0.008524978770760637,0.006360813632249745,0.010267331186468356,0.010267331186420535,1.9523784153430876,1.7625446459689524
620,15.16558968241012,-4.701034046050461,43.956842220540324,-426327.5890638711,1.5746832897802324e-05,26.040741817142322,24.783420604405713,25.604176498027677,99.49824078356625,432.51021994981346,381.435490259233,-0.0013119924511854374,0.4162063237195379,0.43656531911464747,0.009743041220468944,28.143157063133852,2.5967970203579265e-08,0.015014913027266177,0.007957051224862656,0.007057852589707312,0.4498780786312399,0.008605054305326529,0.0064098587219396505,0.010356324365630101,0.010356324365582288,1.935255591320386,1.7631822507004644
625,15.169175245463428,-4.70333987054663,44.16634637235819,-426199.3430002055,1.577310276544268e-05,26.06763504831803,24.79708924313586,25.62721771902775,99.38495905883438,432.3337873360172,381.2654505768534,-0.0013339665341995672,0.4198218474991207,0.4404173292902822,0.00988256484164704,28.252625065007777,2.5973529331573704e-08,0.015144154284650801,0.00802785486540187,0.0071162902052497356,0.4539493973614649,0.008685247132488893,0.006458907152161906,0.010445397580976352,0.010445397580927501,1.9184109422210303,1.763818833549307
630,15.172767628184856,-4.705657052644604,44.3743964990048,-426071.0137728619,1.5799313232804243e-05,26.094336990353234,24.810531228550616,25.65006475316528,99.27139706810672,432.15670494506986,381.09508748245077,-0.0013561333882256426,0.42344094473449456,0.4442722371879512,0.010022626028710001,28.360338888548178,2.597895839345364e-08,0.015273516318160499,0.008098736100832024,0.00717477100202415,0.4580242195439697,0.008765556331606245,0.006507959986554259,0.010534550819293293,0.010534550819249226,1.9018377077490778,1.7644544479915103
635,15.176366822065873,-4.707985520085806,44.581014113886695,-425942.6025593119,1.5825469285646057e-05,26.120854946113877,24.823753466004785,25.672724998406842,99.15755462886423,431.9789813892929,380.9244013795286,-0.0013784932506592366,0.4270635995726383,0.4481299477070343,0.010163216203251935,28.46631317031205,2.5984254801943853e-08,0.015402999259603261,0.008169694570603457,0.007233295472388157,0.46210241463944796,0.008845980984400901,0.006557018275202361,0.010623784064639702,0.010623784064595581,1.8855293487324145,1.7650891442586338
